NCM;CNAE
1051190;1555
3022300;3116
8092900;1334
9024000;10996
9051000;1393
9093100;1211
12072900;1121
25239000;23206
28170020;20193
28418010;20193
29146100;20291
29225050;20291
29321950;20291
29332929;20291
29339911;20291
29339913;20291
30044040;21220
30049099;21211
35040090;20991
35079023;20291
35079039;20291
37013010;20991
37029700;20991
39081022;20312
44079950;16102
48025599;17214
1023110;1512
2044300;10112
3019190;3213
3025900;3221
4081100;10996
8093020;1334
8102000;1334
16055800;10201
19012000;10627
24039100;12204
26060012;7219
28273950;20193
28529000;20291
29122920;20291
29142320;20291
29211129;20291
29221931;20291
29225019;20291
29333389;20291
29339129;20291
29342040;20291
30039055;21211
30049061;21220
35079026;20932
38231300;20291
39093020;20321
40021120;20339
40059910;22196
42029200;15297
44170090;16293
48025599;17222
1023911;1521
1029000;1521
2012090;10112
3021300;3221
3022400;3221
3062500;3124
4012010;10511
7041000;1211
7109000;10325
10061010;1415
10086010;1415
12079910;1415
12129910;1211
13021991;10996
13023220;10996
15162000;10431
20081100;10317
27111990;19217
28415013;20193
29051991;20291
29054100;20291
29162090;20291
29221939;20291
29329500;20291
29334912;20291
29339143;20291
29400093;21106
30031012;21220
30045020;21220
31042010;20126
32071010;20711
34031120;20932
35079022;20291
36030000;20924
38089429;20622
38249088;20991
39042100;20312
39094091;20321
39173240;22293
3028942;3124
3038322;10201
3071900;3116
28276012;20193
28401900;20193
28499090;20193
29049015;20291
29141921;20291
29242111;20291
29339115;20291
29339181;20291
29349915;20291
29362940;21106
29396100;21106
30032079;21220
30049031;21220
30049055;21220
30049096;21211
30064020;21238
37071000;20991
39069049;20312
39072011;20312
39121200;20291
41019020;10112
44079930;16102
10062010;10619
16023100;10961
25161200;8100
27112910;19217
29039220;20291
29061940;20291
29151310;20291
29209041;20291
29333948;20291
29399919;21106
30043937;21211
32041600;20291
38253000;38220
39140090;20312
39173240;22234
39174090;22234
40103900;22196
44029000;2209
47069200;17109
12129400;2209
16055500;10201
27160000;35115
28255010;20193
29161120;20223
29309042;20291
29362911;21106
29375000;21106
30023080;21220
30039022;21211
30042069;21220
30042091;21220
32041919;20291
33072010;20631
37079029;20991
38089332;20525
39264000;22293
40119990;22111
44186000;16226
2032100;10121
2042100;10112
3024210;3221
3089000;3116
7020000;1211
10031000;1415
10084010;1415
19052090;10911
20079910;10317
20099000;10333
28311029;20193
28521014;20193
29026000;20223
29211112;20291
29214319;20291
29319051;20291
29333369;20291
29335350;21106
29339961;20517
29349944;21106
29349945;20291
29350014;21106
30043220;21220
30043929;21220
30049075;21211
32030012;20291
32074090;20711
34012090;20614
35019020;20916
44083910;16218
3011110;3213
3049212;10201
3073100;3116
5119920;1547
7051900;1211
12092300;1415
16023900;10121
21050010;10538
22089000;19314
25084090;8100
25173000;23991
26121000;7251
28352600;20193
28499030;20193
29029030;20291
29033931;20291
29039210;20291
29124910;20291
29270010;20291
30039063;21220
34031110;20932
35069190;20916
38085029;20517
38091010;20932
38099219;20932
38151210;20941
39152000;22293
39232190;22226
40121100;22129
41044120;15106
1022190;1521
2102000;10112
3053910;10201
3057900;10201
12129300;1393
16041900;10201
18062000;10937
25301010;8991
28439019;20291
29037733;20291
29242941;20291
30022012;21211
30043919;21220
30049049;21220
30065000;21238
32041100;20291
39140011;20312
39206100;22218
39229000;22293
41022900;10112
3011190;3221
3023900;3221
3062400;3116
7133490;1211
21021090;10996
25085000;8100
28371914;20193
29024200;20215
29037732;20291
29039918;20291
29212200;20223
29309096;20291
29332121;20291
29419081;21106
29419091;21106
30033931;21220
30042079;21211
30043911;21211
30049093;21211
32011000;20291
37023200;20991
38099211;20932
39123990;20291
39171010;22218
40116320;22111
44072800;16102
47042100;17109
3027290;3116
16054000;10961
17024020;10651
25120000;8991
28372022;20193
29041013;20291
29051994;20291
29124100;20291
29161410;20223
29173940;20291
29209063;20291
29214921;20291
29302022;20291
29333935;20517
29333939;20291
29371950;21106
30021012;21211
30045030;21211
30063019;21238
32072091;20711
34070090;32507
39071039;20312
39122029;20291
41041920;15106
1062000;1598
2043000;10112
2064900;10121
3025100;3116
3055910;10201
14049090;1393
21050090;10538
26211000;8991
28199010;20193
29221969;20291
29252919;20291
29372910;21106
29381000;21106
30033925;21211
31039011;20134
38231900;20291
39012019;20312
39069022;20312
39111029;20312
41044110;15106
41141000;15106
2062910;10112
5080000;3213
5119190;3221
7099300;1393
16041600;10201
19022000;10961
23099090;10996
27111290;19217
28261200;20193
28351029;20193
28419083;20193
28480020;20193
29055910;20291
29062910;20291
29094921;20291
29130090;20291
29209017;20932
29242962;20291
29309099;20291
29331911;21106
29339939;20291
29349914;20291
30021031;21220
30031020;21220
30039059;21211
32072099;20711
38089911;20525
39072049;20321
39129090;20291
41041930;15106
41079210;15106
30043993;21220
3038200;10201
3054920;10201
3079100;3116
7099911;1415
8140000;10317
20084090;10317
25010019;8924
28070010;20126
28259090;20193
28362090;20118
29072300;20291
29161320;20223
29163110;20291
29173919;20291
29391181;21106
29391192;21106
30033939;21220
30045010;21211
30049054;21211
31059011;20134
38160029;23419
38249024;20991
39172900;22293
40029990;20339
40051010;22196
41053000;15106
44101129;16218
3031900;10201
3071900;10201
6011000;1423
8011900;2209
9052000;10953
21042000;10961
26110000;7294
28480090;20193
29027000;20291
29042041;20924
29242996;20291
29319074;20291
29335322;21106
30039033;21211
30039061;21220
30039086;21220
30039089;21220
31029000;20126
31029000;20134
38089297;20517
38099110;20932
39019040;20312
39079100;20321
41132000;15106
